,Salitix_Client_Number,Salitix_Customer_Number,SAL_Invoice_Type,Unit_Funding_Type,Reference_Number,Line_Description,Deal_Type,Invoice_No,Invoice_Date,Promotion_No,Product_No,Start_Date,End_Date,Quantity,Unit_Price,Net_Amount,VAT_Rate,Gross_Amount,Store_Format,Invoice_Description,Acquisition_Ind
163,CL002,ASD01,PR,E,,,Volume Agreement,7000124574,2021-09-10,1000123208,50148564.0,2021-09-01,2021-09-08,4721.0,0.42,1982.8199999999997,0.0,1982.8199999999997,,,Automatic
164,CL002,ASD01,MS,,,,,7000124595,2022-09-01,,,2022-09-01,2022-09-01,,,103.50,0.2,124.19999999999999,, Look on image,Automatic
165,CL002,ASD01,MS,,,,,7000124794,2022-09-01,,,2022-09-01,2022-09-01,,,49.22,0.2,59.06399999999999,, Look on image,Automatic
166,CL002,ASD01,PR,E,,,Volume Agreement,7000124804,2020-09-30,1000057256,50161038.0,2020-09-24,2020-09-30,13617.0,0.47,6399.99,0.2,7679.987999999999,,,Automatic
167,CL002,ASD01,PR,E,,,Volume Agreement,7000124804,2020-09-30,1000057256,50161041.0,2020-09-24,2020-09-30,20931.0,0.47,9837.57,0.2,11805.083999999999,,,Automatic
168,CL002,ASD01,PR,E,,,Volume Agreement,7000124804,2020-09-30,1000057256,50161043.0,2020-09-24,2020-09-30,15807.0,0.47,7429.290000000001,0.2,8915.148000000001,,,Automatic
169,CL002,ASD01,PR,E,,,Volume Agreement,7000124915,2020-10-09,1000056017,5949275.0,2020-10-01,2020-10-07,7444.0,0.3,2233.2,0.2,2679.8399999999997,,,Automatic
170,CL002,ASD01,PR,E,,,Volume Agreement,7000124915,2020-10-09,1000056017,5949268.0,2020-10-01,2020-10-07,35303.0,0.3,10590.9,0.2,12709.08,,,Automatic
171,CL002,ASD01,FX,,,,Fixed Agreement,7000124986,2020-10-16,1000058569,,2020-10-01,2020-10-07,,,1210.20,0.2,1452.24,,Promotional Funding,Automatic
172,CL002,ASD01,FX,,,,Fixed Agreement,7000124989,2020-10-16,1000057396,,2020-10-01,2020-10-07,,,4290.16,0.0,4290.16,,Promotional Funding,Automatic
